,LOAD_PATH_EXPERIMENT,activation,additional_round_penalty,batch_size,byz_honest_train_ratio,byz_starting_temp,clip_ratio,commit_vals,consistency_violation,correct_commit,directory,epochs,exp_name,gamma,hidden_sizes,honest_can_send_either_value,honest_starting_temp,iters_per_epoch,lam,learning_rate,load_policy_byz,load_policy_honest,majority_violation,max_round_len,null_message_val,num_agents,num_byzantine,output_activation,print_every,random_seed,rl_algo_wanted,save_freq,scenario,send_all_first_round_reward,starting_ep,steps_per_epoch,target_kl,temp_anneal,temp_fix_point,train_byz,train_honest,train_policy_iters,train_vf_iters,use_PKI,use_bias,use_heat_jumps,use_vpg,validity_violation,vf_lr,vpg_epochs_ratio,timestamp,last_honest_win,honest_50,honest_75,honest_90
0,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,27,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_17:31:21.860045,0.25,0.0,0.0,0.0
1,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,27,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-1.0,0.001,2,2020-01-28_17:31:51.813790,0.25,0.0,0.0,0.0
2,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,27,vpg,10,Basic,0.3,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_17:32:22.368195,0.75,0.0,0.0,0.0
3,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,27,vpg,10,Basic,0.3,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-1.0,0.001,2,2020-01-28_17:36:14.946645,0.75,0.0,0.0,0.0
4,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,13,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_17:40:04.009804,0.45,0.0,0.0,0.0
5,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,13,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-1.0,0.001,2,2020-01-28_17:45:02.320961,0.55,0.0,0.0,0.0
6,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,13,vpg,10,Basic,0.3,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_17:49:13.959704,0.45,0.0,0.0,0.0
7,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,13,vpg,10,Basic,0.3,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-1.0,0.001,2,2020-01-28_17:54:49.478321,0.45,0.0,0.0,0.0
8,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,11,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_17:59:52.205604,0.6,0.0,0.0,0.0
9,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,11,vpg,10,Basic,0.0,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-1.0,0.001,2,2020-01-28_18:00:23.701164,0.6,0.0,0.0,0.0
10,saved_models/,tanh,-0.03,32,1,6.0,0.2,"(0, 1)",-1.0,1,runs/,700,ablation_analy,0.999,"(16, 8)",False,6.0,20,0.97,0.003,None,None,-1.0,25,2,3,0,,500,11,vpg,10,Basic,0.3,1,4000,0.01,0.985,1.0,True,True,80,80,False,True,False,False,-2.0,0.001,2,2020-01-28_18:04:04.691939,0.6,0.0,0.0,0.0
