Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1233	1839	168	0.1362530413625304	3.4249797242497975	3.534469	10.111448	62.2	-9.0	2.4249797	0.21370035	0.1021992	0.4495896	0.05559425	6000.0	-3.2991355e-08	17.826658	-0.12700304	-1.8777418	1.0877578	0.015647281	0.34032285	6.0	3.226318836212158
1	1096	1660	141	0.12864963503649635	3.7947080291970803	6.520164	11.460936	64.2	-9.0	2.794708	2.7758465	1.2897766	4.657024	1.1969494	12000.0	6.5000236e-09	17.904419	-0.12928557	-0.46315956	1.054215	0.018302387	0.0	6.0	6.223460912704468
2	928	1386	122	0.1314655172413793	4.40625	11.6266165	13.190661	72.7	-9.0	3.40625	3.995448	1.8290497	7.7244005	1.7239468	18000.0	1.969631e-08	20.847765	-0.125744	-0.9588146	0.9993188	0.016823271	0.27104825	7.0	9.882742881774902
3	787	1154	103	0.13087674714104194	5.090216010165184	17.652605	15.964813	93.1	-9.0	4.090216	5.4271793	2.6415372	10.080323	1.9751737	24000.0	-1.9739137e-08	26.78591	-0.10707811	-1.4166203	0.92276144	0.018322924	0.25004163	8.0	13.06642484664917
4	663	973	79	0.1191553544494721	5.948717948717949	24.475264	17.628672	100.0	-9.0	4.948718	7.3243217	3.653024	13.15214	2.2901208	30000.0	2.0748013e-08	30.408339	-0.08791599	-1.0734711	0.82601875	0.017704194	0.20592642	9.0	16.468793869018555
5	549	828	76	0.1384335154826958	7.069216757741348	34.44699	22.457323	193.4	-9.0	6.0692167	8.542615	4.6341524	17.151966	1.7731411	36000.0	1.1174632e-09	41.22193	-0.07116038	-2.3166046	0.7337312	0.017056746	0.19920187	12.0	19.950128078460693
6	426	624	51	0.11971830985915492	9.014084507042254	48.542015	34.15445	230.8	-9.0	8.014085	10.320793	5.914954	23.140987	2.1577902	42000.0	-9.757273e-09	61.228016	-0.055969022	-3.811863	0.6266186	0.01591434	0.17118616	17.0	24.191032886505127
7	321	474	46	0.14330218068535824	11.912772585669781	68.463234	43.12791	221.0	8.4	10.912772	12.727879	7.291121	29.063343	2.4218059	48000.0	-6.1704375e-09	79.08052	-0.0420152	-2.155777	0.5207423	0.0150574455	0.14107677	27.0	29.223745822906494
8	217	310	22	0.10138248847926268	17.91705069124424	95.18433	90.18779	338.8	-857.9	16.917051	13.993682	7.436193	31.89605	3.8891234	54000.0	-2.1629574e-09	29809.53	-0.0013037431	-788.87305	0.40127683	0.0011731421	0.02881749	79.0	33.06701993942261
9	174	256	18	0.10344827586206896	21.632183908045977	83.200005	161.53374	237.7	-1163.4	20.632183	-1.6925131	14.372205	23.885937	-50.250698	60000.0	2.2718443e-09	86825.695	-0.0005311693	-2692.0703	0.30971518	-5.076772e-05	0.0	79.0	36.947108030319214
