Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	821	1225	108	0.1315468940316687	3.433617539585871	-6.724482	5.230364	3.3	-13.5	2.4336176	0.21336465	0.1013532	0.44214463	0.05559425	4000.0	-3.257117e-08	9.079488	-0.013916481	-5.872351	1.0876793	0.016537633	0.58566433	7.0	2.3037149906158447
1	937	1440	147	0.1568836712913554	2.9978655282817503	-6.24397	5.3417535	3.3	-11.7	1.9978656	-5.05253	2.3106382	-1.0107261	-7.358225	8000.0	1.5801332e-08	3.2665706	-0.029691128	-0.088594675	1.0859976	0.016142387	0.36769846	7.0	4.395659923553467
2	1009	1530	174	0.17244796828543113	2.7958374628344895	-5.678196	5.6001787	3.3	-12.5	1.7958375	-4.6994877	2.051296	-1.0898929	-6.8116064	12000.0	-2.1614872e-08	3.4845283	-0.04541972	-0.053235292	1.0400217	0.015782485	0.11038961	6.0	6.436120986938477
3	1052	1592	232	0.22053231939163498	2.6720532319391634	-4.606369	5.979245	3.3	-10.7	1.6720532	-4.44019	1.833588	-1.5164815	-6.3795195	16000.0	-2.0845992e-09	3.9731987	-0.051871106	-0.122410774	0.9614473	0.016069315	0.19060704	5.0	8.69039511680603
4	1091	1646	293	0.2685609532538955	2.5701191567369386	-3.4504123	6.140572	3.3	-10.4	1.5701191	-3.7680087	1.5014716	-1.2674699	-5.5782614	20000.0	-1.3541105e-08	4.291979	-0.051657863	-0.18480492	0.8693491	0.01773078	0.32169577	6.0	10.99712085723877
5	1145	1713	387	0.33799126637554583	2.440174672489083	-1.8474237	6.055063	3.3	-10.9	1.4401747	-2.8652625	1.1125449	-0.93174845	-4.2869444	24000.0	-7.6902495e-08	4.239698	-0.039378542	-0.31273937	0.7402993	0.015386067	0.24275725	8.0	13.141950845718384
6	1190	1883	489	0.41092436974789914	2.3294117647058825	-0.54058826	5.670656	3.3	-11.4	1.3294117	-1.5912871	0.7961916	-0.2563753	-4.373537	28000.0	9.524838e-10	3.660155	-0.029724337	-0.1998632	0.58503866	0.016091267	0.17827715	11.0	15.227023124694824
7	1236	1804	506	0.40938511326860844	2.220064724919094	0.01561484	5.420152	3.3	-10.3	1.2200648	-0.55474466	0.54430807	0.3404528	-3.6040685	32000.0	-2.4473035e-08	3.1373029	-0.021005975	-0.056654453	0.43869817	0.015083829	0.12012987	22.0	17.908874034881592
8	1257	1893	592	0.4709626093874304	2.17024661893397	1.225537	4.5765715	3.3	-10.0	1.1702466	0.021140534	0.72684056	1.3410432	-1.9336323	36000.0	3.5065934e-08	2.3124163	-0.014028954	-0.14648652	0.31164905	0.005529112	0.077192105	79.0	20.65263605117798
9	1272	1939	618	0.4858490566037736	2.138364779874214	1.1232704	4.671864	3.3	-9.5	1.1383648	1.0738194	0.77843684	2.4860356	-1.22975	40000.0	2.1549944e-08	2.1707637	-0.008401391	-0.010629892	0.23639503	0.004553214	0.059925094	79.0	23.220457077026367
10	1291	1911	622	0.4817970565453137	2.099147947327653	1.3357861	4.485714	3.3	-9.5	1.0991479	1.0416664	0.9369694	2.70173	-1.2903838	44000.0	8.998753e-09	1.9321207	-0.0044795116	-0.0062063932	0.18505692	0.0017072551	0.025224775	79.0	25.9544460773468
11	1300	1937	635	0.48846153846153845	2.0776923076923075	1.6279999	4.200271	3.3	-9.4	1.0776923	1.251893	0.9481504	2.9833264	-1.420542	48000.0	-6.050736e-08	1.7546053	-0.0040530534	-0.014640212	0.14836332	0.0015205984	0.014985015	79.0	28.7883939743042
12	1307	1956	649	0.49655700076511095	2.061973986228003	1.7436112	4.0736504	3.3	-9.2	1.0619739	1.5700142	0.85902596	3.0648942	-0.31864136	52000.0	2.7509836e-08	1.5935544	-0.0012562069	-0.0015739202	0.11979211	0.00019565913	0.011738262	79.0	31.975539207458496
13	1315	1962	650	0.49429657794676807	2.0448669201520913	1.7286689	4.0963387	3.3	-9.2	1.0448669	1.6903493	0.89421934	3.2178862	0.08347349	56000.0	4.311477e-08	1.616517	-0.0017621303	-0.00014352798	0.098981835	0.00022735346	0.0077403244	79.0	34.570883989334106
14	1314	1894	630	0.4794520547945205	2.045662100456621	1.7368339	4.086242	3.3	-9.2	1.045662	1.6475345	0.88845104	3.2211227	0.06819122	60000.0	-7.3643584e-08	1.5999658	-0.00093454414	-0.00016736984	0.08100023	0.00065685937	0.008993255	79.0	37.14651608467102
15	1319	1957	649	0.4920394238059136	2.035633055344958	1.7262319	4.100368	3.3	-9.2	1.0356331	1.7166903	0.8890908	3.2613668	0.08018213	64000.0	-6.514234e-08	1.6148353	-0.0012380339	-0.00012099743	0.06687449	0.0007503161	0.013236763	79.0	39.738184213638306
16	1325	2027	674	0.5086792452830189	2.0226415094339623	1.7544904	4.072005	3.3	-9.2	1.0226415	1.7104795	0.8824695	3.2196665	0.072941765	68000.0	-5.953023e-10	1.5834168	-0.00072255376	-0.00012028217	0.0546685	0.000105819985	0.008489388	79.0	42.5146701335907
