Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	1662	2506	223	0.1341756919374248	2.406738868832732	-115.52824	170.24692	46.0	-2800.4	2.4063816	0.21472126	0.10264528	0.4495896	0.05559425	4000.0	2.802666e-08	1106.6709	-0.024608675	-250.00452	1.0877855	0.01929776	0.44171932	7.0	4.39900803565979
1	1385	2081	191	0.1379061371841155	2.888086642599278	-147.00151	214.3736	117.8	-2800.4	2.8887284	-15.764108	7.5296664	-4.6845565	-25.008688	8000.0	-3.53406e-08	1106.8533	-0.028536487	-101.00702	1.049658	0.017270617	0.0	7.0	9.084536075592041
2	1142	1665	126	0.11033274956217162	3.502626970227671	-193.62135	289.39032	113.4	-2800.4	3.502627	-24.761303	11.71131	-10.06156	-39.91861	12000.0	3.8915493e-09	1308.7316	-0.02435737	-62.81909	0.992755	0.015373097	0.21520329	7.0	13.1054048538208
3	974	1484	133	0.13655030800821355	4.1067761806981515	-253.84862	500.60794	416.1	-9555.8	4.109969	-31.957207	15.147023	-14.745538	-52.110615	16000.0	2.2077917e-05	1645.4847	-0.022081709	-30.036743	0.9169214	0.015801689	0.20490038	7.0	17.287330150604248
4	813	1257	106	0.13038130381303814	4.920049200492005	-319.25275	537.4594	336.1	-4601.0	4.9187193	-37.02374	17.397938	-17.764929	-61.105194	20000.0	3.8967896e-10	2071.371	-0.017095694	-23.619629	0.84058946	0.015812743	0.21342959	10.0	21.133594751358032
5	648	1023	106	0.16358024691358025	6.172839506172839	-494.15195	1158.6047	1228.1	-12741.2	6.180835	-40.708042	19.639984	-19.952042	-69.325485	24000.0	7.470715e-05	3470.3481	-0.020597681	-50.771973	0.7452385	0.004613462	0.11126662	79.0	26.0076642036438
6	591	951	94	0.15905245346869712	6.768189509306261	-563.4234	1195.7706	976.3	-9562.8	6.777966	-45.063293	22.674267	-18.128956	-81.017456	28000.0	6.96363e-05	3954.5095	-0.017668119	-40.589355	0.69534045	0.0054526003	0.066704676	79.0	30.577609062194824
7	527	918	103	0.1954459203036053	7.590132827324478	-645.0401	1722.7001	566.6	-20744.8	7.6026616	-47.78796	24.831081	-11.295412	-90.972115	32000.0	6.891263e-05	4570.8726	-0.019637536	-28.43457	0.6512301	0.005118022	0.10669516	79.0	35.38843894004822
8	517	1000	125	0.24177949709864605	7.7369439071566735	-528.0936	1950.4874	1455.2	-31781.3	7.728682	-51.146896	28.30387	-7.0541534	-98.610535	36000.0	-4.828644e-09	3980.9978	-0.016354231	-14.114746	0.624022	0.0065093464	0.09609307	79.0	39.92315602302551
9	495	1032	157	0.31717171717171716	8.080808080808081	-803.4929	5861.0264	1086.6	-119706.9	8.074899	-47.468723	27.43637	-2.760638	-95.43799	40000.0	4.5377666e-10	7706.9624	-0.012148004	-11.425293	0.5831822	0.004888521	0.05060905	79.0	44.37777900695801
10	521	1122	182	0.3493282149712092	7.677543186180422	-502.9756	2087.6733	3698.1	-28174.0	7.6903844	-45.416084	29.004492	5.9234915	-96.41943	44000.0	5.6196215e-05	3885.9417	-0.015179161	-18.930176	0.5566483	0.0064924993	0.08087591	79.0	48.70351481437683
11	507	1171	217	0.4280078895463511	7.889546351084813	-297.0403	2292.1172	11085.9	-39180.9	7.8498025	-42.994835	26.982582	13.75052	-90.5365	48000.0	1.9624397e-10	3777.3262	-0.0137645155	-10.015869	0.49362984	0.002988588	0.07018857	79.0	53.05285596847534
12	526	1253	260	0.49429657794676807	7.604562737642586	-412.42706	2055.2595	2400.9	-22604.4	7.613333	-41.13902	26.873005	10.708311	-88.52213	52000.0	-3.2927576e-09	3500.1704	-0.0128440615	-46.398193	0.49600106	0.0063127526	0.09480846	79.0	57.527244091033936
13	540	1346	290	0.5370370370370371	7.407407407407407	-488.01135	5039.4194	2568.7	-99494.7	7.4155846	-38.115734	22.907835	12.180584	-78.61458	56000.0	7.377832e-09	4497.416	-0.009220969	-47.810547	0.45312533	0.0027094604	0.080967404	79.0	61.88593792915344
14	582	1472	341	0.5859106529209622	6.8728522336769755	-377.2955	5174.5405	10357.3	-107194.4	6.879518	-33.68004	21.0442	11.370823	-75.70137	60000.0	-4.371238e-09	5610.4565	-0.0051883385	-136.51855	0.43581253	0.0010896765	0.016264886	79.0	66.23570513725281
15	593	1505	348	0.5868465430016864	6.745362563237774	-136.85423	1189.3025	4964.2	-15122.4	6.7550673	-33.611984	21.160666	13.526457	-93.367096	64000.0	0.00016396961	2316.249	-0.008729204	-34.968018	0.42266318	0.00484909	0.10926059	79.0	70.87656903266907
16	486	1229	273	0.5617283950617284	8.23045267489712	-470.35696	5189.7783	3153.3	-98065.9	8.230453	-30.877672	17.772564	12.410851	-91.77289	68000.0	-5.761104e-09	7571.7183	-0.005423854	-46.96045	0.38402683	0.0044132015	0.05758187	79.0	75.29444408416748
17	606	1585	395	0.6518151815181518	6.600660066006601	-290.8762	3717.3474	16237.6	-64722.4	6.6082644	-36.42918	22.733946	10.320376	-104.97571	72000.0	2.4083568e-09	6654.8306	-0.005470077	-97.041016	0.36589408	0.0041565537	0.056861594	79.0	79.94103407859802
